PERMNO,date,TICKER,COMNAM,PRC,SHROUT,Market Cap
13243,12/31/2020,FRAK,VANECK VECTORS E T F TRUST,76.4907,145,11091.1515
13244,12/31/2020,MTDR,MATADOR RESOURCES CO,12.06,116837,1409054.22
13245,12/31/2020,EEMO,INVESCO E T F TRUST II,18.9268,1150,21765.82
13246,12/31/2020,IDMO,INVESCO E T F TRUST II,33.3407,100,3334.07
13249,12/31/2020,PRLB,PROTO LABS INC,153.39999,26754,4104063.332
13252,12/31/2020,SPGM,SPDR INDEX SHARES FUNDS,48.71,10200,496842
13253,12/31/2020,SLCA,U S SILICA HOLDINGS INC,7.02,73950,519129
13254,12/31/2020,VGI,VIRTUS GLOBAL MULTI SECTR INC FD,12.11,11308,136939.88
13260,12/31/2020,BCOV,BRIGHTCOVE INC,18.4,39806,732430.4
13262,12/31/2020,CCXI,CHEMOCENTRYX INC,61.92,69208,4285359.36
13265,12/31/2020,OEG,ORBITAL ENERGY GROUP INC,2.19,30421,66621.99
13268,12/31/2020,EEMA,ISHARES INC,87.48,8050,704214
13273,12/31/2020,GNMA,ISHARES TRUST,51,9950,507450
13278,12/31/2020,HMST,HOMESTREET INC,33.75,21788,735345
13279,12/31/2020,CHFS,C H F SOLUTIONS INC,6.97,2736,19069.92
13280,12/31/2020,SYNC,SYNACOR INC,1.36,39644,53915.84
13284,12/31/2020,ALSN,ALLISON TRANSMISSION HLDGS INC,43.13,112671,4859500.23
13286,12/31/2020,BBDO,BANCO BRADESCO S A,4.61,4435107,20445843.27
13293,12/31/2020,QQQE,DIREXION SHARES E T F TRUST,75.16,4950,372042
13296,12/31/2020,BWG,BRANDYWINEGLOBAL GL IN OP FD INC,12.49,20990,262165.1
13300,12/31/2020,BOND,PIMCO E T F TRUST,113.11,36380,4114941.8
13301,12/31/2020,TTT,PROSHARES TRUST,30.14,944,28452.16
13302,12/31/2020,RM,REGIONAL MANAGEMENT CORP,29.86,11336,338492.96
13303,12/31/2020,NL,N L INDUSTRIES INC,4.78,48789,233211.42
13305,12/31/2020,RXN,REXNORD CORP NEW,39.49,120280,4749857.2
13308,12/31/2020,SJNK,SPDR SERIES TRUST,26.95,131500,3543925
13310,12/31/2020,TAGS,TEUCRIUM COMMODITY TRUST,21.2051,75,1590.3825
13315,12/31/2020,VIPS,VIPSHOP HOLDINGS LTD,28.11,456664,12836825.04
13316,12/31/2020,VCRA,VOCERA COMMUNICATIONS INC,41.53,32493,1349434.29
13318,12/31/2020,YELP,YELP INC,32.67,73996,2417449.32
13319,12/31/2020,GLOG,GASLOG LTD,3.72,95170,354032.4
13321,12/31/2020,CSTE,CAESARSTONE SDOT YAM LTD,12.89,34401,443428.89
13322,12/31/2020,EMCB,WISDOMTREE TRUST,77,500,38500
13323,12/31/2020,ENPH,ENPHASE ENERGY INC,175.47,126333,22167651.51
13324,12/31/2020,GALT,GALECTIN THERAPEUTICS INC,2.24,57077,127852.48
13325,12/31/2020,MACK,MERRIMACK PHARMACEUTICALS INC,6.89,13380,92188.2
13326,12/31/2020,MTSI,MACOM TECHNOLOGY SOLS HLDS INC,55.04,67962,3740628.48
13328,12/31/2020,HEAR,TURTLE BEACH CORP,21.55,15188,327301.4
13332,12/31/2020,ACRE,ARES COMMERCIAL REAL ESTATE CORP,11.91,33442,398294.22
13337,12/31/2020,FET,FORUM ENERGY TECHNOLOGIES INC,11.9,5576,66354.4
13341,12/31/2020,MLPA,GLOBAL X FUNDS,27.42,23619,647632.98
13343,12/31/2020,MRC,M R C GLOBAL INC,6.63,82239,545244.57
13344,12/31/2020,MOAT,VANECK VECTORS E T F TRUST,62,65950,4088900
13345,12/31/2020,IHY,VANECK VECTORS E T F TRUST,25.94,4000,103760
13348,12/31/2020,ANGL,VANECK VECTORS E T F TRUST,32.1,127550,4094355
13350,12/31/2020,TMQ,TRILOGY METALS INC,2,143004,286008
13351,12/31/2020,JRI,NUVEEN REAL ASSET INC & GRWTH FD,13.46,27469,369732.74
13353,12/31/2020,PBA,PEMBINA PIPELINE CORP,23.66,549942,13011627.72
13356,12/31/2020,PSX,PHILLIPS 66,69.94,436800,30549792
13357,12/31/2020,ISD,P G I M HIGH YIELD BOND FUND INC,15,33257,498855
13358,12/31/2020,RPAI,RETAIL PROPERTIES OF AMERICA INC,8.56,214253,1834005.68
13360,12/31/2020,RLY,SSGA ACTIVE TRUST,24.66,2300,56718
13361,12/31/2020,INKM,SSGA ACTIVE TRUST,33.87,3780,128028.6
13364,12/31/2020,GAL,SSGA ACTIVE TRUST,42.74,6070,259431.8
13366,12/31/2020,SPLP,STEEL PARTNERS HOLDINGS LP,10.75,25207,270975.25
13369,12/31/2020,CLIR,CLEARSIGN TECHNOLOGIES CORP,2.93,30043,88025.99
