,transaction_date,owner,asset_description,type_detailed,amount,senator,ticker,share_class,type,amount_discrete,market_cap,return_1d,return_index_1d,return_abnormal_1d,return_5d,return_index_5d,return_abnormal_5d,return_1m,return_index_1m,return_abnormal_1m,return_prev1d,return_index_prev1d,return_abnormal_prev1d,return_prev5d,return_index_prev5d,return_abnormal_prev5d,return_prev1m,return_index_prev1m,return_abnormal_prev1m,bm_ratio,Senator,Party,Born,Occupation(s),Assumed office,age,in_office,Budget,Environment_and_Public_Works,Homeland_Security_and_Governmental_Affairs,Judiciary,Rules_and_Administration,Agriculture_Nutrition_and_Forestry,Commerce_Science_and_Transportation,Armed_Services,Energy_and_Natural_Resources,Finance,Foreign_Relations,Small_Business_and_Entrepreneurship,Health_Education_Labor_and_Pensions,Banking_Housing_and_Urban_Affairs,Veterans_Affairs,Appropriations
20,2020-04-14,Joint,Apple Inc.,Sale (Full),"$50,001 - $100,000","David A Perdue , Jr",AAPL,,Sale,3,2255969107000.0,0.0091273300514659,0.0220304561393644,-967.7409081554315,0.0650757382015584,0.0384742415831008,1995.1255471326217,-0.078348792138958,-0.002262777313198,-5706.489154939412,-0.050503165599268,-0.0305725241976657,-1494.8080704408658,-0.0936487598582693,-0.0684691854877463,-1888.4806675764028,-0.1563871812432018,-0.1473087590299278,-680.8862052066567,0.07,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
21,2020-04-14,Joint,Apple Inc.,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr",AAPL,,Sale,2,2255969107000.0,0.0091273300514659,0.0220304561393644,-419.3580494197452,0.0650757382015584,0.0384742415831008,864.561940848178,-0.078348792138958,-0.002262777313198,-2472.833524844613,-0.050503165599268,-0.0305725241976657,-647.7558108727723,-0.0936487598582693,-0.0684691854877463,-818.3487568291795,-0.1563871812432018,-0.1473087590299278,-295.05326114251164,0.07,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
22,2020-04-16,Joint,Apple Inc.,Sale (Full),"$15,001 - $50,000","David A Perdue , Jr",AAPL,,Sale,2,2255969107000.0,0.0135686978966829,-0.0267935918272579,1311.794597172938,0.0406711081656144,0.0006251004625743,1301.5152733526547,-0.0986082179357494,-0.0551374328017002,-1412.822252249166,-0.0079457514307828,-0.0058167107381006,-69.19488703251459,-0.0774983621791873,-0.0180255856406228,-1932.8949738916153,-0.1836422450087838,-0.1732596296094513,-337.4401917860027,0.07,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
23,2020-04-27,Spouse,Apple Inc.,Purchase,"$15,001 - $50,000",Pat Roberts,AAPL,,Purchase,2,2255969107000.0,-0.0162094142667155,-0.0052423501292349,-356.43506800018827,0.0352791243677252,-0.0124162752563854,1550.1243354834098,0.1238831400260218,0.0525450932436564,2318.5221894502665,0.0007068240449517,0.0147140731966977,-455.2426010563209,0.0225328430481652,0.019595063687499,95.47929811132859,0.153348036819811,0.1627591332870139,-305.86534073232787,0.07,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
24,2020-06-23,Spouse,Apple Inc.,Purchase,"$50,001 - $100,000",Ron L Wyden,AAPL,,Purchase,3,2255969107000.0,-0.0176520339399229,-0.0258551587364952,615.2384613053133,-0.0047199683518401,-0.0099000731327982,388.5104486242405,0.0107221509835484,0.0269345860651681,-1215.9407373390184,0.0213447766600718,0.0043074416426651,1277.8086449730038,0.0410418382481774,0.0020961744017102,2920.944261316956,0.156793398870336,0.0619906325567827,7110.254874899655,0.071,Ron Wyden,Democratic,1949-05-03,Teacher; Nonprofit organization executive,1996-02-05,71,24,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
25,2020-06-24,Spouse,Apple Inc.,Purchase,"$15,001 - $50,000",Ron L Wyden,AAPL,,Purchase,2,2255969107000.0,0.0132755651835805,0.0109594699589881,75.2742528468653,0.011248097539299,0.0214829215199667,-332.6368967836906,0.0532688718546907,0.0619867358613657,-283.3349391489376,-0.017652033939923,-0.0258551587364951,266.6056574509883,0.0240905600273044,-0.020285917089825,1442.2576945452672,0.1291040443694049,0.0321034021891759,3152.5693711785293,0.071,Ron Wyden,Democratic,1949-05-03,Teacher; Nonprofit organization executive,1996-02-05,71,24,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
26,2020-06-26,Spouse,Apple Inc.,Purchase,"$15,001 - $50,000",Ron L Wyden,AAPL,,Purchase,2,2255969107000.0,0.0230466872154511,0.0146856981439322,271.7363253188968,0.0571784350875208,0.0567188979910602,14.935185403517732,0.0750219155614626,0.0828799787308285,-255.39098203597317,-0.0307257976099112,-0.0242269177886734,-211.21684363013588,0.0111803728697241,-0.0286305500138809,1293.8748991786074,0.1116595238018145,-0.00891924917576,3918.87041115766,0.071,Ron Wyden,Democratic,1949-05-03,Teacher; Nonprofit organization executive,1996-02-05,71,24,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
27,2020-07-06,Spouse,Apple Inc.,Purchase,"$50,001 - $100,000",Ron L Wyden,AAPL,,Purchase,3,2255969107000.0,-0.0031028754018221,-0.0108185626407355,578.680400762117,0.02155942165148,-0.0077050809505239,2194.8523274015934,0.1776113099475376,0.0465607034581661,9828.861012006108,0.0267502135824397,0.0158817383970018,815.1410731454353,0.0571784350875208,0.0567188979910602,34.46551200309323,0.149883150836614,0.0182044081245777,9875.97154277407,0.071,Ron Wyden,Democratic,1949-05-03,Teacher; Nonprofit organization executive,1996-02-05,71,24,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
28,2020-07-09,Spouse,Apple Inc.,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,AAPL,,Sale,1,2255969107000.0,-0.0024821152644916,-0.0104662045335575,63.87670619716173,-0.0087790084712719,-0.0201519645944703,90.989335463648,-0.1781412176170873,-0.0661220475563519,-896.2093700709128,-0.0035661168943545,0.0056436399427117,-73.68265957494893,-0.0511384485770358,-0.0116147708818754,-316.20918340013077,-0.147753917943799,0.0248546740956381,-1380.9550406115166,0.071,Tom Carper,Democratic,1947-01-23,"U.S. Navy officer; Staff, Delaware Office of Economic Development",2001-01-03,73,19,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
29,2020-07-13,Spouse,Apple Inc.,Purchase,"$15,001 - $50,000",Ron L Wyden,AAPL,,Purchase,2,2255969107000.0,0.0165484276400198,0.0134063551828398,102.1189258945786,0.0301641486214028,0.0306222703963592,-14.889186746970479,0.1836296771490664,0.0713516014731143,3649.093598506278,-0.0046131934063069,-0.0093625197799714,154.3554818072831,0.02155942165148,-0.007705080950524,951.110966816431,0.0823886180705137,-0.010946228065226,3033.4291668346114,0.071,Ron Wyden,Democratic,1949-05-03,Teacher; Nonprofit organization executive,1996-02-05,71,24,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
