Date,Open,High,Low,Close
2/3/2020,"1,893.73","1,913.49","1,893.73","1,903.63"
2/4/2020,"1,915.82","1,938.83","1,915.82","1,933.08"
2/5/2020,"1,915.82","1,954.22","1,915.82","1,952.67"
2/6/2020,"1,954.88","1,959.63","1,952.68","1,957.77"
2/7/2020,"1,953.71","1,954.23","1,943.14","1,946.35"
2/10/2020,"1,944.19","1,960.50","1,942.14","1,960.49"
2/11/2020,"1,944.19","1,975.12","1,942.14","1,965.18"
2/12/2020,"1,969.92","1,979.03","1,969.92","1,977.99"
2/13/2020,"1,972.83","1,982.09","1,967.45","1,976.22"
2/14/2020,"1,978.07","1,980.13","1,972.03","1,979.52"
2/18/2020,"1,976.37","1,977.12","1,965.86","1,974.67"
2/19/2020,"1,976.62","1,988.76","1,976.62","1,984.26"
2/20/2020,"1,981.82","1,987.09","1,959.68","1,978.55"
2/21/2020,"1,974.58","1,974.58","1,952.65","1,957.64"
2/24/2020,"1,951.29","1,951.28","1,885.86","1,893.00"
2/25/2020,"1,898.25","1,904.00","1,829.57","1,834.59"
2/26/2020,"1,834.86","1,864.28","1,821.09","1,824.74"
2/27/2020,"1,820.82","1,820.82","1,745.08","1,745.71"
2/28/2020,"1,745.32","1,745.32","1,674.66","1,730.31"
3/2/2020,"1,731.08","1,806.08","1,723.84","1,805.71"
3/3/2020,"1,805.65","1,831.39","1,741.34","1,756.96"
3/4/2020,"1,771.82","1,828.49","1,771.82","1,828.13"
3/5/2020,"1,821.69","1,821.69","1,752.14","1,766.37"
3/6/2020,"1,764.73","1,764.73","1,694.40","1,735.01"
3/9/2020,"1,690.34","1,690.34","1,592.78","1,598.85"
3/10/2020,"1,615.38","1,674.68","1,589.62","1,674.57"
3/11/2020,"1,672.32","1,672.32","1,570.08","1,589.49"
3/12/2020,"1,583.98","1,583.98","1,435.31","1,435.94"
3/13/2020,"1,456.05","1,564.71","1,439.09","1,564.71"
3/16/2020,"1,554.25","1,564.66","1,369.24","1,564.66"
3/17/2020,"1,377.94","1,464.75","1,357.67","1,451.41"
3/18/2020,"1,404.14","1,405.11","1,301.71","1,366.62"
3/19/2020,"1,364.06","1,412.62","1,323.76","1,382.84"
3/20/2020,"1,389.53","1,411.32","1,320.17","1,324.80"
3/23/2020,"1,324.26","1,324.26","1,259.73","1,288.04"
3/24/2020,"1,335.91","1,410.73","1,335.91","1,409.88"
