transaction_date,owner,asset_description,type_detailed,amount,senator,ticker,share_class,type,amount_discrete,return_1d,return_5d,return_1m,return_index_1d,return_index_5d,return_index_1m,return_abnormal_1d,return_abnormal_5d,return_abnormal_1m,Senator,Party,Born,Occupation(s),Assumed office,Age,In_Office,Budget,Environment_and_Public_Works,Homeland_Security_and_Governmental_Affairs,Judiciary,Rules_and_Administration,Agriculture_Nutrition_and_Forestry,Commerce_Science_and_Transportation,Armed_Services,Energy_and_Natural_Resources,Finance,Foreign_Relations,Small_Business_and_Entrepreneurship,Health_Education_Labor_and_Pensions,Banking_Housing_and_Urban_Affairs,Veterans_Affairs,Appropriations
2020-01-22,Joint,Graphic Packaging Holding Company,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",GPK,,Sale,1,-0.0018126888217522286,0.028398791540785617,0.14320241691842905,-0.001079669312713527,0.014657796240694299,0.02675523382552547,-0.0007330195090387015,0.013740995300091319,0.11644718309290358,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-23,Joint,"Cardlytics, Inc.",Sale (Partial),"$1,000,001 - $5,000,000","David A Perdue , Jr",CDLX,,Sale,6,-0.01359133840129001,0.024879060124395225,0.02130845427320882,0.009254599052970103,0.012782850745195584,0.05780272604948811,-0.022845937454260112,0.01209620937919964,-0.036494271776279286,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-24,Joint,"DuPont de Nemours, Inc.",Purchase,"$15,001 - $50,000","David A Perdue , Jr",DD,,Purchase,2,-0.03367570298029976,-0.13823876073413033,-0.2042431385755178,-0.015291946587044913,-0.021299867297005837,-0.0541075723646014,-0.018383756393254846,-0.11693889343712449,-0.1501355662109164,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-24,Joint,"DuPont de Nemours, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr",DD,,Purchase,1,-0.03367570298029976,-0.13823876073413033,-0.2042431385755178,-0.015291946587044913,-0.021299867297005837,-0.0541075723646014,-0.018383756393254846,-0.11693889343712449,-0.1501355662109164,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-24,Joint,"WPX Energy, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr",WPX,,Purchase,1,-0.03913738019169333,-0.045527156549520775,-0.17971246006389774,-0.015291946587044913,-0.021299867297005837,-0.0541075723646014,-0.023845433604648414,-0.02422728925251494,-0.12560488769929634,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-24,Joint,Bank of America Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",BAC,,Sale,1,0.020572450805008913,0.021168753726893308,0.08676207513416812,0.015291946587044913,0.021299867297005837,0.0541075723646014,0.005280504217963999,-0.00013111357011252878,0.03265450276956672,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-24,Spouse,"Resideo Technologies, Inc.",Sale (Partial),"$50,001 - $100,000",Kelly Loeffler,REZI,,Sale,3,0.04920913884007039,0.10544815465729362,0.2521968365553604,0.015291946587044913,0.021299867297005837,0.0541075723646014,0.033917192253025474,0.08414828736028779,0.198089264190759,Kelly Loeffler,Republican,1970-11-27,Corporate executive,2020-06-01,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2020-01-27,Spouse,"Resideo Technologies, Inc.",Sale (Partial),"$100,001 - $250,000",Kelly Loeffler,REZI,,Sale,4,-0.03512014787430684,0.06654343807763408,0.05175600739371544,-0.010023057243027544,-0.0021109485054906507,0.08102146745138494,-0.025097090631279295,0.06865438658312473,-0.0292654600576695,Kelly Loeffler,Republican,1970-11-27,Corporate executive,2020-06-01,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2020-01-27,Self,Brookfield Asset Management Inc.,Sale (Partial),"$50,001 - $100,000",James M Inhofe,BAM,,Sale,3,-0.012311679896322758,-0.003239915762190293,0.014741616717965256,-0.010023057243027544,-0.0021109485054906507,0.08102146745138494,-0.0022886226532952136,-0.0011289672566996423,-0.06627985073341969,Jim Inhofe,Republican,1934-11-17,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",1994-11-16,86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-01-27,Self,Intuit Inc.,Sale (Full),"$50,001 - $100,000",James M Inhofe,INTU,,Sale,3,-0.01550602567289161,0.0033832110451365027,0.052826400732083445,-0.010023057243027544,-0.0021109485054906507,0.08102146745138494,-0.005482968429864066,0.0054941595506271534,-0.028195066719301498,Jim Inhofe,Republican,1934-11-17,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",1994-11-16,86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
