gvkey,permno,adate,qdate,public_date,bm,TICKER,cusip
001722,10516,2019/12/31,2019/12/31,2020/03/31,0.790,ADM,03948310
001722,10516,2019/12/31,2019/12/31,2020/04/30,0.790,ADM,03948310
001722,10516,2019/12/31,2020/03/31,2020/05/31,1.040,ADM,03948310
001722,10516,2019/12/31,2020/03/31,2020/06/30,1.040,ADM,03948310
001722,10516,2019/12/31,2020/03/31,2020/07/31,1.040,ADM,03948310
001722,10516,2019/12/31,2020/06/30,2020/08/31,0.930,ADM,03948310
001722,10516,2019/12/31,2020/06/30,2020/09/30,0.930,ADM,03948310
001722,10516,2019/12/31,2020/06/30,2020/10/31,0.930,ADM,03948310
001722,10516,2019/12/31,2020/09/30,2020/11/30,0.800,ADM,03948310
001722,10516,2019/12/31,2020/09/30,2020/12/31,0.800,ADM,03948310
003144,11308,2018/12/31,2019/09/30,2019/11/30,0.091,KO,19121610
003144,11308,2018/12/31,2019/09/30,2019/12/31,0.091,KO,19121610
003144,11308,2018/12/31,2019/09/30,2020/01/31,0.091,KO,19121610
003144,11308,2019/12/31,2019/12/31,2020/02/29,0.090,KO,19121610
003144,11308,2019/12/31,2019/12/31,2020/03/31,0.090,KO,19121610
003144,11308,2019/12/31,2019/12/31,2020/04/30,0.090,KO,19121610
003144,11308,2019/12/31,2020/03/31,2020/05/31,0.105,KO,19121610
003144,11308,2019/12/31,2020/03/31,2020/06/30,0.105,KO,19121610
003144,11308,2019/12/31,2020/03/31,2020/07/31,0.105,KO,19121610
003144,11308,2019/12/31,2020/06/30,2020/08/31,0.101,KO,19121610
003144,11308,2019/12/31,2020/06/30,2020/09/30,0.101,KO,19121610
003144,11308,2019/12/31,2020/06/30,2020/10/31,0.101,KO,19121610
003144,11308,2019/12/31,2020/09/30,2020/11/30,0.097,KO,19121610
003144,11308,2019/12/31,2020/09/30,2020/12/31,0.097,KO,19121610
004503,11850,2018/12/31,2019/09/30,2019/11/30,0.724,XOM,30231G10
004503,11850,2018/12/31,2019/09/30,2019/12/31,0.724,XOM,30231G10
004503,11850,2018/12/31,2019/09/30,2020/01/31,0.724,XOM,30231G10
004503,11850,2019/12/31,2019/12/31,2020/02/29,0.735,XOM,30231G10
004503,11850,2019/12/31,2019/12/31,2020/03/31,0.735,XOM,30231G10
004503,11850,2019/12/31,2019/12/31,2020/04/30,0.735,XOM,30231G10
004503,11850,2019/12/31,2020/03/31,2020/05/31,1.289,XOM,30231G10
004503,11850,2019/12/31,2020/03/31,2020/06/30,1.289,XOM,30231G10
004503,11850,2019/12/31,2020/03/31,2020/07/31,1.289,XOM,30231G10
004503,11850,2019/12/31,2020/06/30,2020/08/31,1.084,XOM,30231G10
004503,11850,2019/12/31,2020/06/30,2020/09/30,1.084,XOM,30231G10
004503,11850,2019/12/31,2020/06/30,2020/10/31,1.084,XOM,30231G10
004503,11850,2019/12/31,2020/09/30,2020/11/30,1.391,XOM,30231G10
004503,11850,2019/12/31,2020/09/30,2020/12/31,1.391,XOM,30231G10
014477,11955,2018/12/31,2019/09/30,2019/11/30,0.166,WM,94106L10
014477,11955,2018/12/31,2019/09/30,2019/12/31,0.166,WM,94106L10
014477,11955,2018/12/31,2019/09/30,2020/01/31,0.166,WM,94106L10
014477,11955,2019/12/31,2019/12/31,2020/02/29,0.175,WM,94106L10
014477,11955,2019/12/31,2019/12/31,2020/03/31,0.175,WM,94106L10
014477,11955,2019/12/31,2019/12/31,2020/04/30,0.175,WM,94106L10
014477,11955,2019/12/31,2020/03/31,2020/05/31,0.208,WM,94106L10
014477,11955,2019/12/31,2020/03/31,2020/06/30,0.208,WM,94106L10
014477,11955,2019/12/31,2020/03/31,2020/07/31,0.208,WM,94106L10
014477,11955,2019/12/31,2020/06/30,2020/08/31,0.185,WM,94106L10
014477,11955,2019/12/31,2020/06/30,2020/09/30,0.185,WM,94106L10
014477,11955,2019/12/31,2020/06/30,2020/10/31,0.185,WM,94106L10
014477,11955,2019/12/31,2020/09/30,2020/11/30,0.180,WM,94106L10
014477,11955,2019/12/31,2020/09/30,2020/12/31,0.180,WM,94106L10
005047,12060,2018/12/31,2019/09/30,2019/11/30,0.358,GE,36960410
005047,12060,2018/12/31,2019/09/30,2019/12/31,0.358,GE,36960410
005047,12060,2018/12/31,2019/09/30,2020/01/31,0.358,GE,36960410
005047,12060,2019/12/31,2019/12/31,2020/02/29,0.290,GE,36960410
005047,12060,2019/12/31,2019/12/31,2020/03/31,0.290,GE,36960410
005047,12060,2019/12/31,2019/12/31,2020/04/30,0.290,GE,36960410
005047,12060,2019/12/31,2020/03/31,2020/05/31,0.508,GE,36960410
005047,12060,2019/12/31,2020/03/31,2020/06/30,0.508,GE,36960410
005047,12060,2019/12/31,2020/03/31,2020/07/31,0.508,GE,36960410
005047,12060,2019/12/31,2020/06/30,2020/08/31,0.563,GE,36960410
005047,12060,2019/12/31,2020/06/30,2020/09/30,0.563,GE,36960410
005047,12060,2019/12/31,2020/06/30,2020/10/31,0.563,GE,36960410
005047,12060,2019/12/31,2020/09/30,2020/11/30,0.610,GE,36960410
005047,12060,2019/12/31,2020/09/30,2020/12/31,0.610,GE,36960410
185881,12366,2019/03/31,2019/09/30,2019/11/30,0.084,BAH,09950210
185881,12366,2019/03/31,2019/09/30,2019/12/31,0.084,BAH,09950210
185881,12366,2019/03/31,2019/09/30,2020/01/31,0.084,BAH,09950210
185881,12366,2019/03/31,2019/12/31,2020/02/29,0.092,BAH,09950210
185881,12366,2019/03/31,2019/12/31,2020/03/31,0.092,BAH,09950210
185881,12366,2019/03/31,2019/12/31,2020/04/30,0.092,BAH,09950210
185881,12366,2020/03/31,2020/03/31,2020/05/31,0.099,BAH,09950210
185881,12366,2020/03/31,2020/03/31,2020/06/30,0.099,BAH,09950210
185881,12366,2020/03/31,2020/03/31,2020/07/31,0.099,BAH,09950210
185881,12366,2020/03/31,2020/06/30,2020/08/31,0.082,BAH,09950210
185881,12366,2020/03/31,2020/06/30,2020/09/30,0.082,BAH,09950210
185881,12366,2020/03/31,2020/06/30,2020/10/31,0.082,BAH,09950210
185881,12366,2020/03/31,2020/09/30,2020/11/30,0.085,BAH,09950210
185881,12366,2020/03/31,2020/09/30,2020/12/31,0.085,BAH,09950210
005073,12369,2018/12/31,2019/09/30,2019/11/30,0.849,GM,37045V10
005073,12369,2018/12/31,2019/09/30,2019/12/31,0.849,GM,37045V10
005073,12369,2018/12/31,2019/09/30,2020/01/31,0.849,GM,37045V10
005073,12369,2019/12/31,2019/12/31,2020/02/29,0.816,GM,37045V10
005073,12369,2019/12/31,2019/12/31,2020/03/31,0.816,GM,37045V10
005073,12369,2019/12/31,2019/12/31,2020/04/30,0.816,GM,37045V10
005073,12369,2019/12/31,2020/03/31,2020/05/31,1.379,GM,37045V10
005073,12369,2019/12/31,2020/03/31,2020/06/30,1.379,GM,37045V10
005073,12369,2019/12/31,2020/03/31,2020/07/31,1.379,GM,37045V10
005073,12369,2019/12/31,2020/06/30,2020/08/31,1.110,GM,37045V10
005073,12369,2019/12/31,2020/06/30,2020/09/30,1.110,GM,37045V10
005073,12369,2019/12/31,2020/06/30,2020/10/31,1.110,GM,37045V10
005073,12369,2019/12/31,2020/09/30,2020/11/30,1.046,GM,37045V10
005073,12369,2019/12/31,2020/09/30,2020/12/31,1.046,GM,37045V10
185112,12374,2018/12/31,2019/09/30,2019/11/30,0.125,IPHI,45772F10
185112,12374,2018/12/31,2019/09/30,2019/12/31,0.125,IPHI,45772F10
185112,12374,2018/12/31,2019/09/30,2020/01/31,0.125,IPHI,45772F10
185112,12374,2019/12/31,2019/12/31,2020/02/29,0.102,IPHI,45772F10
185112,12374,2019/12/31,2019/12/31,2020/03/31,0.102,IPHI,45772F10
185112,12374,2019/12/31,2019/12/31,2020/04/30,0.102,IPHI,45772F10
185112,12374,2019/12/31,2020/03/31,2020/05/31,0.096,IPHI,45772F10
185112,12374,2019/12/31,2020/03/31,2020/06/30,0.096,IPHI,45772F10
185112,12374,2019/12/31,2020/03/31,2020/07/31,0.096,IPHI,45772F10
185112,12374,2019/12/31,2020/06/30,2020/08/31,0.057,IPHI,45772F10
185112,12374,2019/12/31,2020/06/30,2020/09/30,0.057,IPHI,45772F10
185112,12374,2019/12/31,2020/06/30,2020/10/31,0.057,IPHI,45772F10
185112,12374,2019/12/31,2020/09/30,2020/11/30,0.064,IPHI,45772F10
185112,12374,2019/12/31,2020/09/30,2020/12/31,0.064,IPHI,45772F10
030861,12473,2018/12/31,2019/09/30,2019/11/30,1.030,KNX,49904910
030861,12473,2018/12/31,2019/09/30,2019/12/31,1.030,KNX,49904910
030861,12473,2018/12/31,2019/09/30,2020/01/31,1.030,KNX,49904910
030861,12473,2019/12/31,2019/12/31,2020/02/29,1.052,KNX,49904910
030861,12473,2019/12/31,2019/12/31,2020/03/31,1.052,KNX,49904910
030861,12473,2019/12/31,2019/12/31,2020/04/30,1.052,KNX,49904910
030861,12473,2019/12/31,2020/03/31,2020/05/31,1.163,KNX,49904910
030861,12473,2019/12/31,2020/03/31,2020/06/30,1.163,KNX,49904910
030861,12473,2019/12/31,2020/03/31,2020/07/31,1.163,KNX,49904910
030861,12473,2019/12/31,2020/06/30,2020/08/31,0.924,KNX,49904910
030861,12473,2019/12/31,2020/06/30,2020/09/30,0.924,KNX,49904910
030861,12473,2019/12/31,2020/06/30,2020/10/31,0.924,KNX,49904910
030861,12473,2019/12/31,2020/09/30,2020/11/30,0.964,KNX,49904910
030861,12473,2019/12/31,2020/09/30,2020/12/31,0.964,KNX,49904910
185532,12476,2018/12/31,2019/09/30,2019/11/30,0.625,TRGP,87612G10
185532,12476,2018/12/31,2019/09/30,2019/12/31,0.625,TRGP,87612G10
185532,12476,2018/12/31,2019/09/30,2020/01/31,0.625,TRGP,87612G10
185532,12476,2019/12/31,2019/12/31,2020/02/29,0.563,TRGP,87612G10
185532,12476,2019/12/31,2019/12/31,2020/03/31,0.563,TRGP,87612G10
185532,12476,2019/12/31,2019/12/31,2020/04/30,0.563,TRGP,87612G10
185532,12476,2019/12/31,2020/03/31,2020/05/31,2.006,TRGP,87612G10
185532,12476,2019/12/31,2020/03/31,2020/06/30,2.006,TRGP,87612G10
185532,12476,2019/12/31,2020/03/31,2020/07/31,2.006,TRGP,87612G10
185532,12476,2019/12/31,2020/06/30,2020/08/31,0.652,TRGP,87612G10
185532,12476,2019/12/31,2020/06/30,2020/09/30,0.652,TRGP,87612G10
185532,12476,2019/12/31,2020/06/30,2020/10/31,0.652,TRGP,87612G10
185532,12476,2019/12/31,2020/09/30,2020/11/30,0.905,TRGP,87612G10
185532,12476,2019/12/31,2020/09/30,2020/12/31,0.905,TRGP,87612G10
006066,12490,2018/12/31,2019/09/30,2019/11/30,0.139,IBM,45920010
006066,12490,2018/12/31,2019/09/30,2019/12/31,0.139,IBM,45920010
006066,12490,2018/12/31,2019/09/30,2020/01/31,0.139,IBM,45920010
006066,12490,2019/12/31,2019/12/31,2020/02/29,0.219,IBM,45920010
006066,12490,2019/12/31,2019/12/31,2020/03/31,0.219,IBM,45920010
006066,12490,2019/12/31,2019/12/31,2020/04/30,0.219,IBM,45920010
006066,12490,2019/12/31,2020/03/31,2020/05/31,0.203,IBM,45920010
006066,12490,2019/12/31,2020/03/31,2020/06/30,0.203,IBM,45920010
006066,12490,2019/12/31,2020/03/31,2020/07/31,0.203,IBM,45920010
006066,12490,2019/12/31,2020/06/30,2020/08/31,0.191,IBM,45920010
006066,12490,2019/12/31,2020/06/30,2020/09/30,0.191,IBM,45920010
006066,12490,2019/12/31,2020/06/30,2020/10/31,0.191,IBM,45920010
006066,12490,2019/12/31,2020/09/30,2020/11/30,0.196,IBM,45920010
006066,12490,2019/12/31,2020/09/30,2020/12/31,0.196,IBM,45920010
006310,12558,2018/12/31,2019/09/30,2019/11/30,0.721,KMI,49456B10
006310,12558,2018/12/31,2019/09/30,2019/12/31,0.721,KMI,49456B10
006310,12558,2018/12/31,2019/09/30,2020/01/31,0.721,KMI,49456B10
006310,12558,2019/12/31,2019/12/31,2020/02/29,0.704,KMI,49456B10
006310,12558,2019/12/31,2019/12/31,2020/03/31,0.704,KMI,49456B10
006310,12558,2019/12/31,2019/12/31,2020/04/30,0.704,KMI,49456B10
006310,12558,2019/12/31,2020/03/31,2020/05/31,1.052,KMI,49456B10
006310,12558,2019/12/31,2020/03/31,2020/06/30,1.052,KMI,49456B10
006310,12558,2019/12/31,2020/03/31,2020/07/31,1.052,KMI,49456B10
006310,12558,2019/12/31,2020/06/30,2020/08/31,0.926,KMI,49456B10
006310,12558,2019/12/31,2020/06/30,2020/09/30,0.926,KMI,49456B10
006310,12558,2019/12/31,2020/06/30,2020/10/31,0.926,KMI,49456B10
006310,12558,2019/12/31,2020/09/30,2020/11/30,1.131,KMI,49456B10
006310,12558,2019/12/31,2020/09/30,2020/12/31,1.131,KMI,49456B10
184254,12591,2018/12/31,2019/09/30,2019/11/30,0.144,APO,03768E10
184254,12591,2018/12/31,2019/09/30,2019/12/31,0.144,APO,03768E10
184254,12591,2018/12/31,2019/09/30,2020/01/31,0.144,APO,03768E10
184254,12591,2019/12/31,2019/12/31,2020/02/29,0.120,APO,03768E10
184254,12591,2019/12/31,2019/12/31,2020/03/31,0.120,APO,03768E10
184254,12591,2019/12/31,2019/12/31,2020/04/30,0.120,APO,03768E10
184254,12591,2019/12/31,2020/03/31,2020/05/31,0.000,APO,03768E10
184254,12591,2019/12/31,2020/03/31,2020/06/30,0.000,APO,03768E10
184254,12591,2019/12/31,2020/03/31,2020/07/31,0.000,APO,03768E10
184254,12591,2019/12/31,2020/06/30,2020/08/31,0.033,APO,03768E10
184254,12591,2019/12/31,2020/06/30,2020/09/30,0.033,APO,03768E10
184254,12591,2019/12/31,2020/06/30,2020/10/31,0.033,APO,03768E10
184254,12591,2019/12/31,2020/09/30,2020/11/30,0.052,APO,03768E10
184254,12591,2019/12/31,2020/09/30,2020/12/31,0.052,APO,03768E10
022260,12622,2018/12/31,2019/09/30,2019/11/30,,HCA,40412C10
022260,12622,2018/12/31,2019/09/30,2019/12/31,,HCA,40412C10
022260,12622,2018/12/31,2019/09/30,2020/01/31,,HCA,40412C10
022260,12622,2019/12/31,2019/12/31,2020/02/29,,HCA,40412C10
022260,12622,2019/12/31,2019/12/31,2020/03/31,,HCA,40412C10
022260,12622,2019/12/31,2019/12/31,2020/04/30,,HCA,40412C10
022260,12622,2019/12/31,2020/03/31,2020/05/31,,HCA,40412C10
022260,12622,2019/12/31,2020/03/31,2020/06/30,,HCA,40412C10
022260,12622,2019/12/31,2020/03/31,2020/07/31,,HCA,40412C10
022260,12622,2019/12/31,2020/06/30,2020/08/31,,HCA,40412C10
022260,12622,2019/12/31,2020/06/30,2020/09/30,,HCA,40412C10
022260,12622,2019/12/31,2020/06/30,2020/10/31,,HCA,40412C10
022260,12622,2019/12/31,2020/09/30,2020/11/30,,HCA,40412C10
022260,12622,2019/12/31,2020/09/30,2020/12/31,,HCA,40412C10
186989,12872,2018/12/31,2019/09/30,2019/11/30,1.011,MPC,56585A10
186989,12872,2018/12/31,2019/09/30,2019/12/31,1.011,MPC,56585A10
186989,12872,2018/12/31,2019/09/30,2020/01/31,1.011,MPC,56585A10
186989,12872,2019/12/31,2019/12/31,2020/02/29,1.025,MPC,56585A10
186989,12872,2019/12/31,2019/12/31,2020/03/31,1.025,MPC,56585A10
186989,12872,2019/12/31,2019/12/31,2020/04/30,1.025,MPC,56585A10
186989,12872,2019/12/31,2020/03/31,2020/05/31,1.945,MPC,56585A10
186989,12872,2019/12/31,2020/03/31,2020/06/30,1.945,MPC,56585A10
186989,12872,2019/12/31,2020/03/31,2020/07/31,1.945,MPC,56585A10
186989,12872,2019/12/31,2020/06/30,2020/08/31,1.221,MPC,56585A10
186989,12872,2019/12/31,2020/06/30,2020/09/30,1.221,MPC,56585A10
186989,12872,2019/12/31,2020/06/30,2020/10/31,1.221,MPC,56585A10
186989,12872,2019/12/31,2020/09/30,2020/11/30,1.474,MPC,56585A10
186989,12872,2019/12/31,2020/09/30,2020/12/31,1.474,MPC,56585A10
174222,12914,2018/12/31,2019/09/30,2019/11/30,,DNKN,26550410
174222,12914,2018/12/31,2019/09/30,2019/12/31,,DNKN,26550410
174222,12914,2018/12/31,2019/09/30,2020/01/31,,DNKN,26550410
174222,12914,2019/12/31,2019/12/31,2020/02/29,,DNKN,26550410
174222,12914,2019/12/31,2019/12/31,2020/03/31,,DNKN,26550410
174222,12914,2019/12/31,2019/12/31,2020/04/30,,DNKN,26550410
174222,12914,2019/12/31,2020/03/31,2020/05/31,,DNKN,26550410
174222,12914,2019/12/31,2020/03/31,2020/06/30,,DNKN,26550410
174222,12914,2019/12/31,2020/03/31,2020/07/31,,DNKN,26550410
174222,12914,2019/12/31,2020/06/30,2020/08/31,,DNKN,26550410
174222,12914,2019/12/31,2020/06/30,2020/09/30,,DNKN,26550410
174222,12914,2019/12/31,2020/06/30,2020/10/31,,DNKN,26550410
174222,12914,2019/12/31,2020/09/30,2020/11/30,,DNKN,26550410
191255,13085,2018/12/31,2019/09/30,2019/11/30,0.775,VAC,57164Y10
191255,13085,2018/12/31,2019/09/30,2019/12/31,0.775,VAC,57164Y10
191255,13085,2018/12/31,2019/09/30,2020/01/31,0.775,VAC,57164Y10
191255,13085,2019/12/31,2019/12/31,2020/02/29,0.620,VAC,57164Y10
191255,13085,2019/12/31,2019/12/31,2020/03/31,0.620,VAC,57164Y10
191255,13085,2019/12/31,2019/12/31,2020/04/30,0.620,VAC,57164Y10
191255,13085,2019/12/31,2020/03/31,2020/05/31,1.337,VAC,57164Y10
191255,13085,2019/12/31,2020/03/31,2020/06/30,1.337,VAC,57164Y10
191255,13085,2019/12/31,2020/03/31,2020/07/31,1.337,VAC,57164Y10
191255,13085,2019/12/31,2020/06/30,2020/08/31,0.885,VAC,57164Y10
191255,13085,2019/12/31,2020/06/30,2020/09/30,0.885,VAC,57164Y10
191255,13085,2019/12/31,2020/06/30,2020/10/31,0.885,VAC,57164Y10
191255,13085,2019/12/31,2020/09/30,2020/11/30,0.795,VAC,57164Y10
191255,13085,2019/12/31,2020/09/30,2020/12/31,0.795,VAC,57164Y10
187128,13141,2018/12/31,2019/09/30,2019/11/30,1.118,WPX,98212B10
187128,13141,2018/12/31,2019/09/30,2019/12/31,1.118,WPX,98212B10
187128,13141,2018/12/31,2019/09/30,2020/01/31,1.118,WPX,98212B10
187128,13141,2019/12/31,2019/12/31,2020/02/29,0.839,WPX,98212B10
187128,13141,2019/12/31,2019/12/31,2020/03/31,0.839,WPX,98212B10
187128,13141,2019/12/31,2019/12/31,2020/04/30,0.839,WPX,98212B10
187128,13141,2019/12/31,2020/03/31,2020/05/31,3.120,WPX,98212B10
187128,13141,2019/12/31,2020/03/31,2020/06/30,3.120,WPX,98212B10
187128,13141,2019/12/31,2020/03/31,2020/07/31,3.120,WPX,98212B10
187128,13141,2019/12/31,2020/06/30,2020/08/31,1.350,WPX,98212B10
187128,13141,2019/12/31,2020/06/30,2020/09/30,1.350,WPX,98212B10
187128,13141,2019/12/31,2020/06/30,2020/10/31,1.350,WPX,98212B10
187128,13141,2019/12/31,2020/09/30,2020/11/30,1.690,WPX,98212B10
187128,13141,2019/12/31,2020/09/30,2020/12/31,1.690,WPX,98212B10
199356,13168,2018/12/31,2019/09/30,2019/11/30,0.307,TRIP,89694520
199356,13168,2018/12/31,2019/09/30,2019/12/31,0.307,TRIP,89694520
199356,13168,2018/12/31,2019/09/30,2020/01/31,0.307,TRIP,89694520
199356,13168,2019/12/31,2019/12/31,2020/02/29,0.280,TRIP,89694520
199356,13168,2019/12/31,2019/12/31,2020/03/31,0.280,TRIP,89694520
199356,13168,2019/12/31,2019/12/31,2020/04/30,0.280,TRIP,89694520
199356,13168,2019/12/31,2020/03/31,2020/05/31,0.447,TRIP,89694520
199356,13168,2019/12/31,2020/03/31,2020/06/30,0.447,TRIP,89694520
199356,13168,2019/12/31,2020/03/31,2020/07/31,0.447,TRIP,89694520
199356,13168,2019/12/31,2020/06/30,2020/08/31,0.362,TRIP,89694520
199356,13168,2019/12/31,2020/06/30,2020/09/30,0.362,TRIP,89694520
199356,13168,2019/12/31,2020/06/30,2020/10/31,0.362,TRIP,89694520
199356,13168,2019/12/31,2020/09/30,2020/11/30,0.348,TRIP,89694520
199356,13168,2019/12/31,2020/09/30,2020/12/31,0.348,TRIP,89694520
020423,13267,2018/12/31,2019/09/30,2019/11/30,0.375,CZR,12768610
020423,13267,2018/12/31,2019/09/30,2019/12/31,0.375,CZR,12768610
020423,13267,2018/12/31,2019/09/30,2020/01/31,0.375,CZR,12768610
020423,13267,2019/12/31,2019/12/31,2020/02/29,0.312,CZR,12768610
020423,13267,2019/12/31,2019/12/31,2020/03/31,0.312,CZR,12768610
020423,13267,2019/12/31,2019/12/31,2020/04/30,0.312,CZR,12768610
020423,13267,2019/12/31,2020/03/31,2020/05/31,0.617,CZR,12768610
020423,13267,2019/12/31,2020/03/31,2020/06/30,0.617,CZR,12768610
170841,13356,2018/12/31,2019/09/30,2019/11/30,0.667,PSX,71854610
170841,13356,2018/12/31,2019/09/30,2019/12/31,0.667,PSX,71854610
170841,13356,2018/12/31,2019/09/30,2020/01/31,0.667,PSX,71854610
170841,13356,2019/12/31,2019/12/31,2020/02/29,0.620,PSX,71854610
170841,13356,2019/12/31,2019/12/31,2020/03/31,0.620,PSX,71854610
170841,13356,2019/12/31,2019/12/31,2020/04/30,0.620,PSX,71854610
170841,13356,2019/12/31,2020/03/31,2020/05/31,1.146,PSX,71854610
170841,13356,2019/12/31,2020/03/31,2020/06/30,1.146,PSX,71854610
170841,13356,2019/12/31,2020/03/31,2020/07/31,1.146,PSX,71854610
170841,13356,2019/12/31,2020/06/30,2020/08/31,0.834,PSX,71854610
170841,13356,2019/12/31,2020/06/30,2020/09/30,0.834,PSX,71854610
