,disclosure_year,disclosure_date,transaction_date,owner,asset_description,type_detailed,amount,representative,district,cap_gains_over_200_usd,ticker,share_class,type,amount_discrete,market_cap,return_1d,return_index_1d,return_abnormal_1d,return_5d,return_index_5d,return_abnormal_5d,return_1m,return_index_1m,return_abnormal_1m,return_prev1d,return_index_prev1d,return_abnormal_prev1d,return_prev5d,return_index_prev5d,return_abnormal_prev5d,return_prev1m,return_index_prev1m,return_abnormal_prev1m,bm_ratio,name,name_committee,party,education,assumed_office,born,age,in_office,Agriculture,Appropriations,Armed_Services,Budget,Education_and_Labor,Energy_and_Commerce,Ethics,Financial_Services,Foreign_Affairs,Homeland_Security,House_Administration,Judiciary,Natural_Resources,Oversight_and_Reform,Rules,Science_Space_and_Technology,Small_Business,Transportation_and_Infrastructure,Veterans_Affairs,Ways_and_Means
2909,2020,04/22/2020,2020-03-26,,Eli Lilly and Company,sale_full,"$1,001 - $15,000",Steve Cohen,TN09,False,LLY,,Sale,1,161509304900.0,0.0017864531606658351,0.0336873163071707,-0.031900863146504865,-0.058280457143248476,0.039227092815020126,-0.0975075499582686,-0.17082239145348788,-0.08871246772899566,-0.08210992372449222,-0.10177144497293744,-0.06241416083633622,-0.03935728413660122,-0.009467352919077188,-0.09159164767845818,0.08212429475938099,0.007828003840189002,0.15924122741120328,-0.15141322357101428,0.04,Steve Cohen,Steve Cohen,Democratic,Vanderbilt University; BA; University of Memphis; JD,2007,1949-05-24,71,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2910,2020,07/22/2020,2020-06-03,,Eli Lilly and Co,purchase,"$1,001 - $15,000",Kurt Schrader,OR05,False,LLY,,Purchase,1,161509304900.0,-0.011932013374418071,-0.0033686961032639573,-0.008563317271154114,-0.010030813610437339,0.021541082401765,-0.03157189601220234,0.09414541401691467,0.018204408124577576,0.0759410058923371,-0.008644222020018355,0.013648963587616247,-0.022293185607634602,0.046877144818119554,0.02856926416194283,0.018307880656176723,-0.007160059884137149,0.1032108552271338,-0.11037091511127095,0.042,Kurt Schrader,Kurt Schrader,Democratic,Cornell University; BA; University of Illinois at Urbana–Champaign; BS; DVM,2009,1951-10-19,69,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2911,2020,10/28/2020,2020-09-01,,Eli Lilly,purchase,"$1,001 - $15,000",Kurt Schrader,OR05,False,LLY,,Purchase,1,161509304900.0,0.015274949083503131,0.015365857116526938,-9.090803302380657e-05,0.03170400543109286,-0.036207165440290345,0.06791117087138321,-0.014188662593346946,-0.0505323749167057,0.03634371232335876,-0.007345508457443084,0.00752504778148233,-0.014870556238925414,-0.01590052217400595,0.024111255016523447,-0.040011777190529396,-0.0198948047038926,0.07811697522561101,-0.0980117799295036,0.041,Kurt Schrader,Kurt Schrader,Democratic,Cornell University; BA; University of Illinois at Urbana–Champaign; BS; DVM,2009,1951-10-19,69,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2912,2020,11/20/2020,2020-10-02,,Eli Lilly,purchase,"$1,001 - $15,000",Kurt Schrader,OR05,False,LLY,,Purchase,1,161509304900.0,0.009778871305084147,0.01797553487594228,-0.008196663570858131,0.08036629155248987,0.03843282244866275,0.041933469103827115,-0.0979960679019306,0.00618795618258039,-0.104184024084511,0.006376187287836288,-0.009571699006152401,0.01594788629398869,-0.033608281219771,0.015152525724125843,-0.04876080694389684,-0.014188662593346946,-0.05053237491670559,0.036343712323358646,0.041,Kurt Schrader,Kurt Schrader,Democratic,Cornell University; BA; University of Illinois at Urbana–Champaign; BS; DVM,2009,1951-10-19,69,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2913,2020,11/20/2020,2020-10-26,,Eli Lilly,purchase,"$1,001 - $15,000",Kurt Schrader,OR05,False,LLY,,Purchase,1,161509304900.0,-0.06916026817219467,-0.0030256074002417144,-0.06613466077195296,-0.07106563161609025,-0.026677683131577146,-0.04438794848451311,0.02152434721242069,0.06723964045551711,-0.04571529324309642,-0.004775951678606671,-0.01858953826264864,0.01381358658404197,-0.007703081232493081,-0.0075723973714006965,-0.0001306838610923844,-0.04777904710704939,0.04755143088594482,-0.09533047799299421,0.041,Kurt Schrader,Kurt Schrader,Democratic,Cornell University; BA; University of Illinois at Urbana–Champaign; BS; DVM,2009,1951-10-19,69,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2914,2020,02/08/2020,2020-01-09,self,Lockheed Martin Corporation,sale_full,"$15,001 - $50,000",Michael John Gallagher,WI08,False,LMT,,Sale,2,99317727120.0,0.0026510496385184767,0.0028552233792408233,-0.0002041737407223465,-0.025956234207125117,-0.012859193208538233,-0.013097040998586884,-0.06005837273897696,-0.02536110178031592,-0.03469727095866104,-0.00948833418485262,-0.006655292725288531,-0.0028330414595640896,-0.038961339109096604,-0.005172122718971162,-0.03378921639012544,-0.07255855018762736,-0.0409388698341655,-0.031619680353461854,0.036,Mike Gallagher,Mike Gallagher,Republican,Princeton University; BA; National Intelligence University; MS; Georgetown University; MA; MS; PhD,2017,1984-03-03,36,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2915,2020,04/09/2020,2020-03-27,,Lockheed Martin Corporation,purchase,"$1,001 - $15,000",John Curtis,UT03,False,LMT,,Purchase,1,99317727120.0,0.0013491302600607824,0.03351603599491648,-0.0321669057348557,0.006085309145186235,-0.020783247490625434,0.02686855663581167,0.11346805212698796,0.15661802027960214,-0.04314996815261418,-0.005566152072792985,-0.0336873163071707,0.028121164234377716,0.1962777281780097,0.10262829078666491,0.09364943739134479,-0.1310052165379202,-0.18448268669839152,0.05347747016047133,0.029,John Curtis,John Curtis,Republican,Brigham Young University; BS,2017,1960-05-10,60,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2916,2020,08/15/2020,2020-07-27,joint,Lockheed Martin Corporation,purchase,"$1,001 - $15,000",Kevin Hern,OK01,False,LMT,,Purchase,1,99317727120.0,0.01196053285875065,-0.006473401020556158,0.018433933879306807,-0.013059724148760665,0.017040140025498474,-0.03009986417425914,0.03493941218037633,0.0738776505598242,-0.038938238379447876,-0.010667745803261242,0.007395129414764723,-0.018062875218025964,0.045304079008562814,-0.003822451289116513,0.04912653029767933,0.06189202762792423,0.06198673586136594,-9.470823344170931e-05,0.036,Kevin Hern,Kevin Hern,Republican,"Arkansas Tech University; BS; Georgia Institute of Technology; University of Arkansas, Little Rock; MBA",2018,1961-12-04,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2917,2020,08/27/2020,2020-08-07,self,Lockheed Martin Corporation,sale_full,"$1,001 - $15,000",Joe Courtney,CT02,False,LMT,,Sale,1,99317727120.0,-0.009439370364607624,-0.0027422358024395965,-0.006697134562168028,-0.015040739588195517,-0.00643634670931692,-0.008604392878878597,0.0009854519993777178,-0.0142273996801221,0.015212851679499817,-0.015484305458585146,-0.0006329945419150107,-0.014851310916670135,-0.017547563131646182,-0.024505368191934274,0.006957805060288091,-0.10104785138201033,-0.05720613008448128,-0.04384172129752906,0.037,Joe Courtney,Joe Courtney,Democratic,Tufts University; BA; University of Connecticut; JD,2007,1953-04-06,67,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2918,2020,04/16/2020,2020-03-18,--,Lincoln National Corporation,sale_full,"$1,001 - $15,000",Gilbert Cisneros,CA39,False,LNC,,Sale,1,9723162150.0,0.02634245187436679,-0.004707893749218206,0.031050345623584996,-0.27102330293819654,-0.03230057128560104,-0.2387227316525955,-0.46960486322188477,-0.17724865518535515,-0.2923562080365296,0.1383675250982105,0.051830823307066676,0.08653670179114381,0.3806087229369314,0.12522160371783553,0.25538711921909585,0.6769759450171822,0.29053654264886875,0.3864394023683134,1.907,Gil Cisneros,Gil Cisneros,Democratic,George Washington University (BA); Regis University (MBA); Brown University (MA),2019,1971-02-12,49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
